"COLEGIUL ""RICHARD WURMBRAND""","COLEGIUL AGRICOL ŞI DE INDUSTRIE ALIMENTARĂ ""VASILE ADAMACHI""","COLEGIUL NAŢIONAL ""COSTACHE NEGRUZZI""","COLEGIUL NAȚIONAL ""EMIL RACOVIŢĂ""","COLEGIUL NAȚIONAL ""GARABET IBRĂILEANU""","COLEGIUL NAȚIONAL ""VASILE ALECSANDRI""",COLEGIUL NAȚIONAL
9.7,9.73,9.96,9.93,9.83,9.95,10
9.66,9.46,9.96,9.9,9.81,9.86,9.98
9.65,9.31,9.96,9.9,9.8,9.8,9.98
9.6,9.15,9.93,9.9,9.78,9.76,9.96
9.51,9.13,9.93,9.88,9.76,9.73,9.95
9.36,8.9,9.91,9.85,9.73,9.73,9.95
9.33,8.85,9.86,9.83,9.73,9.71,9.95
9.28,8.66,9.86,9.83,9.73,9.7,9.93
9.26,8.4,9.85,9.81,9.71,9.68,9.93
9.18,8.25,9.83,9.81,9.7,9.68,9.9
9,8.23,9.81,9.81,9.68,9.65,9.9
8.96,8.23,9.81,9.81,9.66,9.65,9.88
8.83,8.2,9.8,9.8,9.63,9.65,9.88
8.83,8.16,9.8,9.8,9.63,9.63,9.88
8.76,8.1,9.8,9.8,9.63,9.63,9.86
8.76,8.08,9.8,9.8,9.6,9.63,9.86
8.68,8.05,9.8,9.78,9.58,9.61,9.85
8.63,8.03,9.78,9.78,9.58,9.61,9.83
8.63,7.95,9.78,9.78,9.55,9.6,9.83
8.56,7.93,9.78,9.76,9.53,9.6,9.83
8.53,7.9,9.78,9.76,9.5,9.58,9.81
8.5,7.9,9.76,9.75,9.48,9.55,9.81
8.5,7.88,9.73,9.73,9.46,9.55,9.81
8.48,7.86,9.73,9.73,9.45,9.55,9.8
8.46,7.85,9.73,9.73,9.41,9.53,9.76
8.35,7.8,9.7,9.73,9.41,9.53,9.76
8.2,7.78,9.7,9.71,9.4,9.53,9.75
8.18,7.75,9.7,9.68,9.4,9.51,9.75
7.85,7.73,9.7,9.68,9.4,9.5,9.75
7.23,7.71,9.7,9.68,9.38,9.5,9.75
,7.71,9.68,9.68,9.35,9.5,9.75
,7.58,9.68,9.68,9.33,9.48,9.73
,7.38,9.66,9.66,9.31,9.43,9.73
,7.38,9.66,9.65,9.31,9.4,9.71
,7.3,9.63,9.65,9.31,9.4,9.71
,7.28,9.63,9.63,9.31,9.38,9.71
,7.26,9.63,9.63,9.31,9.38,9.7
,7.2,9.61,9.63,9.3,9.35,9.7
,7.18,9.61,9.63,9.3,9.33,9.7
,7.15,9.61,9.63,9.3,9.31,9.7
,7.13,9.61,9.63,9.28,9.3,9.68
,7.1,9.6,9.63,9.28,9.3,9.68
,7.1,9.56,9.61,9.28,9.28,9.68
,7.06,9.56,9.61,9.26,9.28,9.68
,7.06,9.56,9.6,9.23,9.28,9.68
,7.01,9.56,9.6,9.23,9.26,9.68
,6.86,9.55,9.6,9.21,9.26,9.68
,6.83,9.53,9.58,9.2,9.26,9.66
,6.81,9.53,9.58,9.2,9.25,9.65
,6.8,9.53,9.58,9.18,9.25,9.65
,6.78,9.51,9.56,9.15,9.25,9.65
,6.75,9.51,9.56,9.15,9.21,9.63
,6.73,9.5,9.55,9.15,9.21,9.63
,6.68,9.5,9.55,9.15,9.21,9.63
,6.68,9.5,9.53,9.13,9.2,9.63
,6.66,9.48,9.53,9.13,9.2,9.61
,6.66,9.48,9.53,9.11,9.16,9.61
,6.65,9.48,9.51,9.11,9.16,9.61
,6.61,9.46,9.51,9.11,9.16,9.6
,6.6,9.46,9.51,9.1,9.15,9.6
,6.6,9.46,9.46,9.1,9.15,9.6
,6.58,9.46,9.46,9.1,9.15,9.6
,6.56,9.45,9.46,9.1,9.15,9.58
,6.56,9.45,9.46,9.03,9.13,9.58
,6.46,9.43,9.45,9.03,9.13,9.58
,6.43,9.43,9.45,9,9.13,9.56
,6.4,9.41,9.45,9,9.13,9.55
,6.38,9.41,9.43,8.98,9.13,9.53
,6.38,9.4,9.41,8.96,9.1,9.51
,6.28,9.4,9.41,8.95,9.08,9.51
,,,,,9.08,
,,,,,9.08,
,,,,,9.06,
,,,,,9.05,
,,,,,9.03,
,,,,,9.03,
,,,,,8.98,
,,,,,8.98,
,,,,,8.96,
,,,,,8.95,
